name,img_url,meaning_upright,meaning_reversed
Page of Swords,upload.wikimedia.org/wikipedia/en/thumb/4/4c/Swords11.jpg/68px-Swords11.jpg,"Authority, overseeing, secret service, vigilance, spying, examination, and the qualities thereto belonging.","More evil side of these qualities; what is unforeseen, unprepared state; sickness is also intimated."
Knight of Swords,upload.wikimedia.org/wikipedia/en/thumb/b/b0/Swords12.jpg/68px-Swords12.jpg,"Skill, bravery, capacity, defence, address, enmity, wrath, war, destruction, opposition, resistance, ruin. There is therefore a sense in which the card signifies death, but it carries this meaning only in its proximity to other cards of fatality.","Imprudence, incapacity, extravagance."
Queen of Swords,upload.wikimedia.org/wikipedia/en/thumb/d/d4/Swords13.jpg/67px-Swords13.jpg,"Widowhood, female sadness and embarrassment, absence, sterility, mourning, privation, separation.","Malice, bigotry, artifice, prudery, bale, deceit."
King of Swords,upload.wikimedia.org/wikipedia/en/thumb/3/33/Swords14.jpg/68px-Swords14.jpg,"Whatsoever arises out of the idea of judgment and all its connexions-power, command, authority, militant intelligence, law, offices of the crown, and so forth.","Cruelty, perversity, barbarity, perfidy, evil intention."
Ace of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/f/fd/Pents01.jpg/68px-Pents01.jpg,"Perfect contentment, felicity, ecstasy; also speedy intelligence; gold.","The evil side of wealth, bad intelligence; also great riches. In any case it shews prosperity, comfortable material conditions, but whether these are of advantage to the possessor will depend on whether the card is reversed or not."
Two of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/9/9f/Pents02.jpg/69px-Pents02.jpg,"On the one hand it is represented as a card of gaiety, recreation and its connexions, which is the subject of the design; but it is read also as news and messages in writing, as obstacles, agitation, trouble, embroilment.","Enforced gaiety, simulated enjoyment, literal sense, handwriting, composition, letters of exchange."
Three of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/4/42/Pents03.jpg/69px-Pents03.jpg,"Metier, trade, skilled labour; usually, however, regarded as a card of nobility, aristocracy, renown, glory.","Mediocrity, in work and otherwise, puerility, pettiness, weakness."
Four of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/3/35/Pents04.jpg/68px-Pents04.jpg,"The surety of possessions, cleaving to that which one has, gift, legacy, inheritance.","Suspense, delay, opposition."
Five of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/9/96/Pents05.jpg/68px-Pents05.jpg,"The card foretells material trouble above all, whether in the form illustrated - that is, destitution - or otherwise. For some cartomancists, it is a card of love and lovers-wife, husband, friend, mistress; also concordance, affinities. These alternatives cannot be harmonized.","Disorder, chaos, ruin, discord, profligacy."
Six of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/a/a6/Pents06.jpg/69px-Pents06.jpg,"Presents, gifts, gratification another account says attention, vigilance now is the accepted time, present prosperity, etc.","Desire, cupidity, envy, jealousy, illusion."
Seven of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/6/6a/Pents07.jpg/68px-Pents07.jpg,"These are exceedingly contradictory; in the main, it is a card of money, business, barter; but one reading gives altercation, quarrels - and another innocence, ingenuity, purgation.",Cause for anxiety regarding money which it may be proposed to lend.
Eight of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/4/49/Pents08.jpg/68px-Pents08.jpg,"Work, employment, commission, craftsmanship, skill in craft and business, perhaps in the preparatory stage.","Voided ambition, vanity, cupidity, exaction, usury. It may also signify the possession of skill, in the sense of the ingenious mind turned to cunning and intrigue."
Nine of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/f/f0/Pents09.jpg/69px-Pents09.jpg,"Prudence, safety, success, accomplishment, certitude, discernment.","Roguery, deception, voided project, bad faith."
Ten of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/4/42/Pents10.jpg/70px-Pents10.jpg,"Gain, riches; family matters, archives, extraction, the abode of a family.","Chance, fatality, loss, robbery, games of hazard; sometimes gift, dowry, pension."
Page of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/e/ec/Pents11.jpg/68px-Pents11.jpg,"Application, study, scholarship, reflection another reading says news, messages and the bringer thereof; also rule, management.","Prodigality, dissipation, liberality, luxury; unfavourable news."
Knight of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/d/d5/Pents12.jpg/68px-Pents12.jpg,"Utility, serviceableness, interest, responsibility, rectitude-all on the normal and external plane.","inertia, idleness, repose of that kind, stagnation; also placidity, discouragement, carelessness."
Queen of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/8/88/Pents13.jpg/68px-Pents13.jpg,"Opulence, generosity, magnificence, security, liberty.","Evil, suspicion, suspense, fear, mistrust."
King of Pentacles,upload.wikimedia.org/wikipedia/en/thumb/1/1c/Pents14.jpg/69px-Pents14.jpg,"Valour, realizing intelligence, business and normal intellectual aptitude, sometimes mathematical gifts and attainments of this kind; success in these paths.","Vice, weakness, ugliness, perversity, corruption, peril."
